nama_gambar,teks_deskripsi
Dark/dark (1).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (10).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (100).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (101).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (102).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (103).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (104).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (105).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (106).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (107).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (108).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (109).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (11).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (110).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (111).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (112).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (113).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (114).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (115).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (116).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (117).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (118).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (119).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (12).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (120).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (121).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (122).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (123).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (124).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (125).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (126).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (127).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (128).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (129).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (13).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (130).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (131).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (132).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (133).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (134).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (135).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (136).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (137).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (138).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (139).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (14).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (140).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
